time,voltage
0.0,2.0712
0.025,2.7546
0.05,2.775
0.075,2.9154
0.1,2.9152
0.125,2.9556
0.15,2.9354
0.175,2.9154
0.2,2.9154
0.225,2.8752
0.25,2.9358
0.275,2.9056
0.3,2.7548
0.325,2.6844
0.35,2.634
0.375,2.5232
0.4,1.7892
0.425,1.4084
0.45,2.2122
0.475,2.5938
0.5,2.5938
0.525,2.634
0.55,2.654
0.575,2.6036
0.6,2.594
0.625,2.604
0.65,2.7546
0.675,2.7948
0.7,2.7546
0.725,2.7444
0.75,2.7144
0.775,2.7144
0.8,2.473
0.825,1.5786
0.85,0.9456
0.875,1.1466
0.9,1.9104
0.925,2.604
0.95,2.634
0.975,2.6644
1.0,2.634
1.025,2.664
1.05,2.654
1.075,2.634
1.1,2.6742
1.125,2.7042
1.15,2.6544
1.175,2.6742
1.2,2.6742
1.225,2.6742
1.25,2.634
1.275,2.6644
1.3,2.5538
1.325,2.534
1.35,2.5338
1.375,2.091
1.4,1.066
1.425,0.9054
1.45,1.7696
1.475,2.5536
1.5,2.634
1.525,2.6442
1.55,2.6742
1.575,2.6742
1.6,2.6342
1.625,2.634
1.65,2.6142
1.675,2.6036
1.7,2.674
1.725,2.604
1.75,2.574
1.775,2.5134
1.8,2.5132
1.825,2.5134
1.85,2.5334
1.875,2.5536
1.9,2.594
1.925,2.5638
1.95,2.5942
1.975,2.634
2.0,2.6342
2.025,2.634
2.05,2.6138
2.075,2.6036
2.1,2.6342
2.125,2.634
2.15,2.574
2.175,2.3124
2.2,2.2324
2.225,2.202
2.25,1.8702
2.275,2.5536
2.3,2.5938
2.325,2.5938
2.35,2.5938
2.375,2.6242
2.4,2.594
2.425,2.634
2.45,2.5938
2.475,2.5438
2.5,2.272
2.525,1.2972
2.55,1.6294
2.575,2.5634
2.6,2.594
2.625,2.664
2.65,2.6742
2.675,2.5232
2.7,2.6742
2.725,2.6742
2.75,2.7746
2.775,2.8046
2.8,2.8754
2.825,2.8752
2.85,2.9358
2.875,2.8752
2.9,2.835
2.925,2.9052
2.95,2.9354
2.975,2.8752
3.0,2.8752
3.025,2.835
3.05,2.8752
3.075,2.9458
3.1,2.8752
3.125,2.8454
3.15,2.835
3.175,2.9154
3.2,2.9958
3.225,2.8856
3.25,2.9154
3.275,2.8252
3.3,2.7946
3.325,2.7546
3.35,2.7144
3.375,2.6438
3.4,2.634
3.425,2.634
3.45,2.6544
3.475,2.634
3.5,2.674
3.525,2.664
3.55,2.6742
3.575,2.6742
3.6,2.674
3.625,2.6742
3.65,2.654
3.675,2.634
3.7,2.674
3.725,2.6742
3.75,2.654
3.775,2.6438
3.8,2.6342
3.825,2.604
3.85,2.6142
3.875,2.6242
3.9,2.6742
3.925,2.5938
3.95,2.7546
3.975,2.8252
4.0,2.9552
4.025,2.8856
4.05,2.8554
4.075,2.483
4.1,2.5536
4.125,2.5536
4.15,2.5334
4.175,2.5134
4.2,2.5134
4.225,2.5032
4.25,2.5338
4.275,2.5134
4.3,2.5132
4.325,2.5536
4.35,2.5338
4.375,2.5134
4.4,2.4736
4.425,2.4834
4.45,2.5334
4.475,2.5134
4.5,2.1516
4.525,2.1618
4.55,2.1516
4.575,2.1516
4.6,2.1916
4.625,2.1618
4.65,2.1716
4.675,2.1516
4.7,2.1918
4.725,2.1618
4.75,2.172
4.775,2.1614
4.8,2.1116
4.825,1.2972
4.85,1.2672
4.875,1.2672
4.9,1.2672
4.925,1.2972
4.95,1.2876
4.975,1.2878
5.0,1.3074
5.025,1.3074
5.05,1.2876
5.075,1.3074
5.1,1.3072
5.125,2.1816
5.15,2.1716
5.175,2.1516
5.2,2.1516
5.225,2.1516
5.25,2.1516
5.275,2.1516
5.3,2.1516
5.325,2.1618
5.35,2.172
5.375,2.5232
5.4,2.4734
5.425,2.3928
5.45,2.3124
5.475,1.6488
5.5,0.5838
5.525,0.624
5.55,2.0116
5.575,2.3428
5.6,2.3528
5.625,2.4228
5.65,2.373
5.675,2.4232
5.7,2.433
5.725,2.3928
5.75,2.3928
5.775,2.7046
5.8,2.6742
5.825,2.7042
5.85,2.7144
5.875,2.634
5.9,2.7146
5.925,2.6844
5.95,2.7144
5.975,2.785
6.0,2.795
6.025,2.9754
6.05,2.9154
6.075,2.8852
6.1,2.875
6.125,2.7144
6.15,2.6742
6.175,2.0508
6.2,0.8252
6.225,0.7848
6.25,1.549
6.275,2.5536
6.3,2.5536
6.325,2.6238
6.35,2.6742
6.375,2.7448
6.4,2.6342
6.425,2.6546
6.45,2.6344
6.475,2.6742
6.5,2.634
6.525,2.664
6.55,2.6742
6.575,2.684
6.6,2.6742
6.625,2.7144
6.65,2.6742
6.675,2.7144
6.7,2.7544
6.725,2.7444
6.75,2.6946
6.775,2.4232
6.8,2.433
6.825,2.403
6.85,2.433
6.875,2.4026
6.9,2.433
6.925,2.403
6.95,2.433
6.975,2.433
7.0,2.4332
7.025,2.1012
7.05,2.0916
7.075,2.1016
7.1,2.0712
7.125,2.0814
7.15,2.0912
7.175,2.081
7.2,2.0712
7.225,2.1114
7.25,2.0912
7.275,2.0204
7.3,2.0314
7.325,2.1012
7.35,1.368
7.375,1.3574
7.4,1.3474
7.425,1.3476
7.45,1.3878
7.475,1.3574
7.5,1.3878
7.525,1.398
7.55,1.4082
7.575,1.3878
7.6,1.388
7.625,1.398
7.65,1.4078
7.675,1.3878
7.7,1.3878
7.725,1.3878
7.75,1.3672
7.775,2.1114
7.8,2.1514
7.825,2.1114
7.85,2.0712
7.875,2.1016
7.9,2.1114
7.925,2.0814
7.95,2.373
7.975,2.4026
8.0,2.4332
8.025,2.463
8.05,2.433
8.075,2.4232
8.1,2.4328
8.125,2.7144
8.15,2.6946
8.175,2.7448
8.2,2.6744
8.225,2.7144
8.25,2.6942
8.275,2.6742
8.3,2.7142
8.325,2.7846
8.35,2.7948
8.375,2.7144
8.4,2.7142
